id_producto;id_estado;id_tipo_producto;nom_producto;desc_producto;nom_marca;nom_talla;costo_prom;cantidad
1775;1;0;ZAPATO NEGRO PLANTA PU;ZAPATO NEGRO PLANTA PU;Sin Marca;Sin Talla;22849;5
1776;1;0;CARTERA BLANCA;CARTERA BLANCA;Sin Marca;Sin Talla;42343;2
1777;1;0;AMBO BLANCO FEMENINO;AMBO BLANCO FEMENINO;Sin Marca;Sin Talla;57188;1
1778;1;0;ZAPATO BLANCO FEMENINO;ZAPATO BLANCO FEMENINO;Sin Marca;Sin Talla;33772;10
1779;1;0;FUNDA PARA SABLE;FUNDA PARA SABLE;Sin Marca;Sin Talla;16366;76
1781;1;0;FRASCO CORRECTOR LIQUIDO;FRASCO CORRECTOR LIQUIDO;Sin Marca;Sin Talla;316;12
1782;1;12;ESTUCHE SENCILLO;ESTUCHE SENCILLO;Sin Marca;Sin Talla;1038;12
1784;1;7;BATA DE BAÑO XS;BATA DE BAÑO;Sin Marca;XS;26178;4
1785;1;7;BATA DE BAÑO M;BATA DE BAÑO M;Sin Marca;Sin Talla;26178;3
1818;1;4;GORRA FEMENINA 23;GORRA FEMENINA 23;ARMADA C. AB.;Sin Talla;61657;3
1840;1;4;CAMISA SMOKING FEM;CAMISA SMOKING FEM;ARMADA C. AB.;46;19459;2
1847;1;4;CHAQUETA PERSONAL NAVAL FEM.;CHAQUETA PERSONAL NAVAL FEM.;ARMADA C. AB.;48R;48318;1
1848;1;7;FAJA NEGRA FEMENINA;FAJA NEGRA FEMENINA;ARMADA C. AB.;S;15825;3
1852;1;7;PANTALON BLANCO C/MARRUECOS;PANTALON BLANCO C/MARRUECOS;ARMADA C. AB.;52;17408;1
1853;1;7;PANTALON BLANCO C/MARRUECOS;PANTALON BLANCO C/MARRUECOS;ARMADA C. AB.;50;17408;8
1854;1;7;PANTALON BLANCO C/MARRUECOS;PANTALON BLANCO C/MARRUECOS;ARMADA C. AB.;54;17408;1
1855;1;7;PANTALON BLANCO C/MARRUECOS;PANTALON BLANCO C/MARRUECOS;ARMADA C. AB.;42;17408;4
1856;1;3;SABLE OFICIAL TALLA 96;SABLE OFICIAL TALLA 96;ARMADA C. AB.;Sin Talla;255174;4
1861;1;7;PIJAMA BLANCO ;PIJAMA BLANCO;Sin Marca;M;8638;43
1862;1;7;PIJAMA BLANCO ;PIJAMA BLANCO;Sin Marca;L;8638;12
1864;1;7;GUANTES DE CUERO CAFE;GUANTES DE CUERO CAFE;ARMADA C. AB.;NÂ° 9  1/2;9529;27
1906;1;5;ZAPATO NEGRO PLANTA PU;ZAPATO NEGRO PLANTA PU;ARMADA C. AB.;40;22849;8
1907;1;5;ZAPATO NEGRO PLANTA PU;ZAPATO NEGRO PLANTA PU;ARMADA C. AB.;41;22849;12
1908;1;5;ZAPATO NEGRO PLANTA PU;ZAPATO NEGRO PLANTA PU;ARMADA C. AB.;43;22849;6
1953;1;4;SMOKING FEMENINO;SMOKING FEMENINO;MAVESA;40;84788;4
1954;1;4;CAMISA SMOKING MUJER;CAMISA SMOKING MUJER;Sin Marca;36R;19990;2
1955;1;4;CAMISA SMOKING MUJER;CAMISA SMOKING MUJER;Sin Marca;38R;19990;4
1957;1;4;CAMISETA BLANCA M/C GAMA;CAMISETA BLANCA M/C GAMA;Sin Marca;Sin Talla;2677;16
1960;1;4;CORBATIN NEGRO FEMENINO  GAMA;CORBATIN NEGRO FEMENINO  GAMA;Sin Marca;Sin Talla;1298;2
1961;1;4;CORBATIN DE SMOKING GAMA;CORBATIN DE SMOKING GAMA;Sin Marca;Sin Talla;6752;2
1962;1;4;INSIGNIA SOLAPA FEMENINA GAMA;INSIGNIA SOLAPA FEMENINA GAMA;Sin Marca;Sin Talla;9052;2
1963;1;4;INSIGNIA SOLAPA MASCULINA GAMA;INSIGNIA SOLAPA MASCULINA GAMA;Sin Marca;Sin Talla;9052;3
1964;1;4;CAMISA SMOKING VARON GAMA;CAMISA SMOKING VARON GAMA;Sin Marca;Sin Talla;19459;28
1965;1;4;CORBATA LANA NEGRA GAMA;CORBATA LANA NEGRA GAMA;Sin Marca;Sin Talla;2598;2
1974;1;3;GUANTES CUERO CAFE GAMA;GUANTES CUERO CAFE GAMA;Sin Marca;Sin Talla;9529;38
1975;1;3;DRAGONAS GAMA;DRAGONAS GAMA;Sin Marca;Sin Talla;33934;1
1976;1;3;HERRETE GAMA;HERRETE GAMA;Sin Marca;Sin Talla;2115;16
1977;1;5;ZAPATO NEGRO PLANTA PU GAMA;ZAPATO NEGRO PLANTA PU GAMA;Sin Marca;Sin Talla;22849;19
1981;1;4;SMOKING MASCULINO GAMA;SMOKING MASCULINO GAMA;Sin Marca;Sin Talla;92686;16
1983;1;4;SMOKING FEMENINO GAMA;SMOKING FEMENINO GAMA;Sin Marca;Sin Talla;92686;5
1984;1;3;GUANTES CAFE MUJER GAMA;GUANTES CAFE MUJER GAMA;Sin Marca;Sin Talla;9403;3
1985;1;3;INSIGNIA SOLAPA VARON GAMA 2;INSIGNIA SOLAPA VARON GAMA 2;Sin Marca;Sin Talla;9317;15
1986;1;3;SMOKING MASCULINO GAMA 2;SMOKING MASCULINO GAMA 2;Sin Marca;Sin Talla;104798;3
1992;1;7;CAMISA M/C MUJER GAMA 2;CAMISA M/C MUJER GAMA 2;Sin Marca;Sin Talla;7922;9
1993;1;7;CAMISETA M/C MUJER GAMA;CAMISETA M/C MUJER GAMA;Sin Marca;Sin Talla;3063;13
1996;1;7;CORBATIN SMOKING MUJER GAMA 2;CORBATIN SMOKING MUJER GAMA 2;Sin Marca;Sin Talla;12429;2
2002;1;3;INSIGNIA SOLAPA FEMENINO;INSIGNIA SOLAPA FEMENINO;Sin Marca;Sin Talla;10710;50
2003;1;5;PANTINAS DE BAÑO;PANTINAS DE BAÑO;Sin Marca;Sin Talla;6940;1
2005;1;7;BUZO AZUL;BUZO AZUL;Sin Marca;L;40460;22
2016;1;7;CAMISA PUÑO DOBLE VARON;CAMISA PUÑO DOBLE VARON;BENSONS;39L;11884;6
2017;1;7;CAMISA PUÑO DOBLE VARON;CAMISA PUÑO DOBLE VARON;BENSONS;40L;11884;6
2036;1;7;CAMISA MANGA CORTA MUJER;CAMISA MANGA CORTA MUJER;BENSONS;38R;11009;1
2037;1;7;CAMISA MANGA CORTA MUJER;CAMISA MANGA CORTA MUJER;BENSONS;40R;11009;4
2056;1;7;CAMISA BLANCA M/CORTA MUJER;CAMISA BLANCA M/CORTA MUJER;BENSONS;41R;11009;3
2057;1;3;SOUTACHE COMPLETO;SOUTACHE COMPLETO;Sin Marca;Sin Talla;4809;69
2062;1;8;LIBRO NAVEGACION A VELA;LIBRO NAVEGACION A VELA;Sin Marca;Sin Talla;15400;220
2097;1;7;CAMISA MANGA CORTA  MUJER;CAMISA MANGA CORTA  MUJER;BENSONS;44R;11009;10
